Data Set 7:Time(s),Data Set 7:Force 1(N),Data Set 7:Force 2(N),,0,,
4.35,-0.2179184,-0.1072464,0.3251648,1.514849349,,
4.355,-0.2074432,-0.0736008,0.281044,1.516254569,,
4.36,-0.2158203,-0.0841141,0.2999344,1.517754241,,
4.365,-0.2179184,-0.1009369,0.3188553,1.519348518,,
4.37,-0.2116318,-0.1093445,0.3209763,1.520953399,,
4.375,-0.2221069,-0.1051407,0.3272476,1.522589637,,
4.38,-0.2116318,-0.1093445,0.3209763,1.524194519,,
4.385,-0.2095337,-0.1114502,0.3209839,1.525799438,,
4.39,-0.2116318,-0.1093445,0.3209763,1.52740432,,
4.395,-0.2200165,-0.1135559,0.3335724,1.529072182,,
4.4,-0.2221069,-0.1114502,0.3335571,1.530739967,,
4.405,-0.2158203,-0.1135559,0.3293762,1.532386848,,
4.41,-0.2074432,-0.0820084,0.2894516,1.533834106,,
4.415,-0.2053452,-0.0946274,0.2999726,1.535333969,,
4.42,-0.2221069,-0.1114502,0.3335571,1.537001755,,
4.425,-0.2116318,-0.1072464,0.3188782,1.538596146,,
4.43,-0.2116318,-0.1072464,0.3188782,1.540190537,,
4.435,-0.2137299,-0.1135559,0.3272858,1.541826966,,
4.44,-0.2221069,-0.1072464,0.3293533,1.543473732,,
4.445,-0.2158203,-0.1072464,0.3230667,1.545089066,,
4.45,-0.2179184,-0.1114502,0.3293686,1.546735909,,
4.455,-0.2179184,-0.1051407,0.3230591,1.548351204,,
4.46,-0.2032471,-0.1093445,0.3125916,1.549914162,,
4.465,-0.2074432,-0.1072464,0.3146896,1.55148761,,
4.47,-0.2116318,-0.103035,0.3146668,1.553060944,,
4.475,-0.2179184,-0.1072464,0.3251648,1.554686768,,
4.48,-0.2200165,-0.1051407,0.3251572,1.556312554,,
4.485,-0.2179184,-0.1093445,0.3272629,1.557948869,,
4.49,-0.2283936,-0.1114502,0.3398438,1.559648088,,
4.495,-0.2179184,-0.1177597,0.3356781,1.561326478,,
4.5,-0.2179184,-0.1135559,0.3314743,1.56298385,,
4.505,-0.224205,-0.1114502,0.3356552,1.564662126,,
4.51,-0.2179184,-0.115654,0.3335724,1.566329988,,
4.515,-0.2158203,-0.1135559,0.3293762,1.567976869,,
4.52,-0.2221069,-0.1177597,0.3398666,1.569676202,,
4.525,-0.2116318,-0.1177597,0.3293915,1.571323159,,
4.53,-0.2095337,-0.0820084,0.2915421,1.57278087,,
4.535,-0.2074432,-0.0946274,0.3020706,1.574291223,,
4.54,-0.2095337,-0.1051407,0.3146744,1.575864595,,
4.545,-0.2011566,-0.1009369,0.3020935,1.577375062,,
4.55,-0.2011566,-0.1114502,0.3126068,1.578938096,,
4.555,-0.2011566,-0.1135559,0.3147125,1.580511659,,
4.56,-0.2053452,-0.1135559,0.3189011,1.582106164,,
4.565,-0.2011566,-0.115654,0.3168106,1.583690217,,
4.57,-0.2032471,-0.0778046,0.2810517,1.585095476,,
4.575,-0.1990585,-0.0904236,0.2894821,1.586542886,,
4.58,-0.2032471,-0.0988312,0.3020783,1.588053278,,
4.585,-0.2011566,-0.1009369,0.3020935,1.589563745,,
4.59,-0.1864853,-0.1009369,0.2874222,1.591000856,,
4.595,-0.1990585,-0.1051407,0.3041992,1.592521852,,
4.6,-0.1906815,-0.1072464,0.2979279,1.594011492,,
4.605,-0.1885834,-0.1093445,0.2979279,1.595501131,,
4.61,-0.1864853,-0.1072464,0.2937317,1.59696979,,
4.615,-0.1906815,-0.0988312,0.2895127,1.598417353,,
4.62,-0.1927719,-0.0841141,0.276886,1.599801783,,
4.625,-0.1990585,-0.1009369,0.2999954,1.60130176,,
4.63,-0.19487,-0.0988312,0.2937012,1.602770266,,
4.635,-0.1969681,-0.1009369,0.297905,1.604259791,,
4.64,-0.1885834,-0.1072464,0.2958298,1.60573894,,
4.645,-0.2053452,-0.0967331,0.3020783,1.607249332,,
4.65,-0.1990585,-0.1051407,0.3041992,1.608770328,,
4.655,-0.1885834,-0.1009369,0.2895203,1.610217929,,
4.66,-0.1864853,-0.0988312,0.2853165,1.611644512,,
4.665,-0.1885834,-0.103035,0.2916184,1.613102604,,
4.67,-0.1822968,-0.0946274,0.2769242,1.614487225,,
4.675,-0.1801987,-0.0967331,0.2769318,1.615871884,,
4.68,-0.1906815,-0.0967331,0.2874146,1.617308957,,
4.685,-0.1801987,-0.0925217,0.2727204,1.618672559,,
4.69,-0.1781082,-0.1051407,0.2832489,1.620088803,,
4.695,-0.1885834,-0.0967331,0.2853165,1.621515386,,
4.7,-0.1906815,-0.0946274,0.2853089,1.62294193,,
4.705,-0.1781082,-0.0904236,0.2685318,1.624284589,,
4.71,-0.1718216,-0.0630875,0.2349091,1.625459135,,
4.715,-0.1760101,-0.0714951,0.2475052,1.626696661,,
4.72,-0.1822968,-0.0904236,0.2727204,1.628060263,,
4.725,-0.1718216,-0.0946274,0.266449,1.629392508,,
4.73,-0.1781082,-0.0988312,0.2769394,1.630777205,,
4.735,-0.1864853,-0.0925217,0.279007,1.63217224,,
4.74,-0.1843948,-0.0925217,0.2769165,1.633556822,,
4.745,-0.1864853,-0.0904236,0.2769089,1.634941367,,
4.75,-0.1843948,-0.0988312,0.283226,1.636357497,,
4.755,-0.1760101,-0.103035,0.2790451,1.637752722,,
4.76,-0.1822968,-0.0946274,0.2769242,1.639137343,,
4.765,-0.1801987,-0.0988312,0.2790299,1.640532493,,
4.77,-0.1781082,-0.0946274,0.2727356,1.641896171,,
4.775,-0.1676331,-0.0925217,0.2601548,1.643196945,,
4.78,-0.1718216,-0.0672913,0.2391129,1.644392509,,
4.785,-0.1822968,-0.0799103,0.2622071,1.645703545,,
4.79,-0.1801987,-0.0883179,0.2685166,1.647046128,,
4.795,-0.173912,-0.0967331,0.2706451,1.648399353,,
4.8,-0.1676331,-0.0904236,0.2580567,1.649689637,,
4.805,-0.1843948,-0.0967331,0.2811279,1.651095276,,
4.81,-0.1781082,-0.1009369,0.2790451,1.652490502,,
4.815,-0.1801987,-0.0988312,0.2790299,1.653885651,,
4.82,-0.1781082,-0.0883179,0.2664261,1.655217782,,
4.825,-0.1781082,-0.1009369,0.2790451,1.656613007,,
4.83,-0.1613464,-0.069397,0.2307434,1.657766724,,
4.835,-0.1634369,-0.0820084,0.2454453,1.658993951,,
4.84,-0.1718216,-0.0820084,0.25383,1.660263101,,
4.845,-0.1760101,-0.0736008,0.2496109,1.661511155,,
4.85,-0.1676331,-0.0799103,0.2475434,1.662748872,,
4.855,-0.165535,-0.0820084,0.2475434,1.663986589,,
4.86,-0.173912,-0.0799103,0.2538223,1.665255701,,
4.865,-0.1634369,-0.0820084,0.2454453,1.666482927,,
4.87,-0.1634369,-0.0841141,0.247551,1.667720682,,
4.875,-0.1508636,-0.0756989,0.2265625,1.668853495,,
4.88,-0.1634369,-0.0799103,0.2433472,1.670070231,,
4.885,-0.1466751,-0.0441589,0.190834,1.671024401,,
4.89,-0.1487732,-0.0588837,0.2076569,1.672062685,,
4.895,-0.1508636,-0.0630875,0.2139511,1.673132441,,
4.9,-0.1487732,-0.0651855,0.2139587,1.674202234,,
4.905,-0.1424866,-0.069397,0.2118836,1.675261652,,
4.91,-0.1466751,-0.0630875,0.2097626,1.676310465,,
4.915,-0.1362,-0.0714951,0.2076951,1.677348941,,
4.92,-0.1320114,-0.0378494,0.1698608,1.678198245,,
4.925,-0.1320114,-0.0504684,0.1824798,1.679110644,,
4.93,-0.1320114,-0.0630875,0.1950989,1.680086138,,
4.935,-0.1341019,-0.0630875,0.1971894,1.681072085,,
4.94,-0.1299133,-0.0546722,0.1845855,1.681995013,,
4.945,-0.1320114,-0.0609818,0.1929932,1.682959979,,
4.95,-0.1299133,-0.0609818,0.1908951,1.683914454,,
4.955,-0.1236267,-0.0630875,0.1867142,1.684848025,,
4.96,-0.1215286,-0.0588837,0.1804123,1.685750087,,
4.965,-0.1257248,-0.0609818,0.1867066,1.68668362,,
4.97,-0.1236267,-0.0651855,0.1888122,1.687627681,,
4.975,-0.1173401,-0.0609818,0.1783219,1.68851929,,
4.98,-0.115242,-0.0525742,0.1678162,1.689358371,,
4.985,-0.115242,-0.0588837,0.1741257,1.690229,,
4.99,-0.1110535,-0.0504684,0.1615219,1.691036609,,
4.995,-0.1026688,-0.0210266,0.1236954,1.691655086,,
5,-0.1110535,-0.0378494,0.1489029,1.692399601,,
5.005,-0.0942917,-0.0462646,0.1405563,1.693102382,,
5.01,-0.0838165,-0.0210266,0.1048431,1.693626598,,
5.015,-0.0984802,-0.0294418,0.127922,1.694266208,,
5.02,-0.0984802,-0.0420609,0.1405411,1.694968913,,
5.025,-0.085907,-0.0420609,0.1279679,1.695608753,,
5.03,-0.0838165,-0.0357513,0.1195678,1.696206592,,
5.035,-0.085907,-0.0462646,0.1321716,1.69686745,,
5.04,-0.085907,-0.0483627,0.1342697,1.697538798,,
5.045,-0.0817184,-0.0504684,0.1321868,1.698199732,,
5.05,-0.0880051,-0.0378494,0.1258545,1.698829005,,
5.055,-0.0733337,-0.0420609,0.1153946,1.699405978,,
5.06,-0.0712433,-0.0483627,0.119606,1.700004008,,
5.065,-0.0733337,-0.0378494,0.1111831,1.700559923,,
5.07,-0.0649567,-0.0336456,0.0986023,1.701052935,,
5.075,-0.0649567,-0.0294418,0.0943985,1.701524927,,
5.08,-0.056572,-0.025238,0.08181,1.701933977,,
5.085,-0.0544815,-0.0294418,0.0839233,1.702353594,,
5.09,-0.0439987,-0.025238,0.0692367,1.702699777,,
5.095,-0.0628586,-0.0210266,0.0838852,1.703119203,,
5.1,-0.05867,0.0189209,0.0397491,1.703317949,,
5.105,-0.0544815,0,0.0544815,1.703590356,,
5.11,-0.05867,-0.0189285,0.0775985,1.703978349,,
5.115,-0.05867,-0.0168228,0.0754928,1.704355813,,
5.12,-0.05867,-0.025238,0.083908,1.704775353,,
5.125,-0.0523834,-0.025238,0.0776214,1.70516346,,
5.13,-0.0419083,-0.0021057,0.044014,1.70538353,,
5.135,-0.0523834,-0.0273361,0.0797195,1.705782127,,
5.14,-0.0439987,-0.0210266,0.0650253,1.706107254,,
5.145,-0.0481949,-0.0315399,0.0797348,1.706505928,,
5.15,-0.056572,-0.0273361,0.0839081,1.706925468,,
5.155,-0.0628586,-0.0231323,0.0859909,1.707355423,,
5.16,-0.0649567,-0.025238,0.0901947,1.707806396,,
5.165,-0.0712433,-0.0210266,0.0922699,1.708267746,,
5.17,-0.0628586,-0.0168228,0.0796814,1.708666153,,
5.175,-0.0691452,-0.0294418,0.098587,1.709159088,,
5.18,-0.0670547,-0.0189285,0.0859832,1.709589004,,
5.185,-0.0670547,-0.025238,0.0922927,1.710050467,,
5.19,-0.0691452,-0.0231323,0.0922775,1.710511855,,
5.195,-0.0607681,-0.025238,0.0860061,1.710941885,,
5.2,-0.0628586,-0.0189285,0.0817871,1.711350821,,
5.205,-0.05867,-0.025238,0.083908,1.711770361,,
5.21,-0.0628586,0.00630951,0.05654909,1.712053106,,
5.215,-0.0649567,-0.012619,0.0775757,1.712440984,,
5.22,-0.05867,0.00209808,0.05657192,1.712723844,,
5.225,-0.0419083,-0.0084152,0.0503235,1.712975462,,
5.23,-0.05867,-0.0168228,0.0754928,1.713352926,,
5.235,-0.05867,-0.0189285,0.0775985,1.713740918,,
5.24,-0.056572,-0.0147247,0.0712967,1.714097402,,
5.245,-0.05867,-0.025238,0.083908,1.714516942,,
5.25,-0.05867,-0.0210266,0.0796966,1.714915425,,
5.255,-0.0607681,-0.0210266,0.0817947,1.715324398,,
5.26,-0.0544815,-0.0231323,0.0776138,1.715712467,,
5.265,-0.0523834,-0.0273361,0.0797195,1.716111065,,
5.27,-0.0607681,-0.0210266,0.0817947,1.716520038,,
5.275,-0.0607681,-0.0189285,0.0796966,1.716918521,,
5.28,-0.0544815,-0.0210266,0.0755081,1.717296062,,
5.285,-0.0628586,-0.0168228,0.0796814,1.717694469,,
5.29,-0.0523834,-0.0210266,0.07341,1.718061519,,
5.295,-0.0460968,-0.025238,0.0713348,1.718418193,,
5.3,-0.0628586,-0.0273361,0.0901947,1.718869166,,
5.305,-0.0670547,-0.0273361,0.0943908,1.71934112,,
5.31,-0.056572,0.04415894,0.01241306,1.719403185,,
5.315,-0.05867,0.00630951,0.05236049,1.719664988,,
5.32,-0.05867,0,0.05867,1.719958338,,
5.325,-0.0607681,-0.012619,0.0733871,1.720325273,,
5.33,-0.0649567,-0.0210266,0.0859833,1.72075519,,
5.335,-0.0649567,-0.0189285,0.0838852,1.721174616,,
5.34,-0.0628586,-0.0189285,0.0817871,1.721583551,,
5.345,-0.05867,-0.0168228,0.0754928,1.721961015,,
5.35,-0.05867,-0.025238,0.083908,1.722380555,,
5.355,-0.0502853,-0.0189285,0.0692138,1.722726624,,
5.36,-0.0628586,-0.0231323,0.0859909,1.723156579,,
5.365,-0.056572,-0.0273361,0.0839081,1.723576119,,
5.37,-0.05867,-0.0210266,0.0796966,1.723974602,,
5.375,-0.0523834,-0.025238,0.0776214,1.724362709,,
5.38,-0.056572,-0.025238,0.08181,1.724771759,,
5.385,-0.0523834,-0.0273361,0.0797195,1.725170357,,
5.39,-0.0754318,-0.0210266,0.0964584,1.725652649,,
5.395,-0.0523834,-0.0168228,0.0692062,1.72599868,,
5.4,-0.0481949,-0.5235977,0.5717926,1.728857643,,
5.405,-0.0544815,-1.762146,1.8166275,1.73794078,,
5.41,-1.5212479,-2.5822372,4.1034851,1.758458206,,
5.415,-2.5249329,-3.0217209,5.5466538,1.786191475,,
5.42,-3.4615707,-3.5011597,6.9627304,1.821005127,,
5.425,-4.1132355,-3.8312988,7.9445343,1.860727798,,
5.43,-4.2787704,-4.0541992,8.3329696,1.902392646,,
5.435,-4.0210342,-4.4200859,8.4411201,1.944598247,,
5.44,-3.639679,-4.7291946,8.3688736,1.986442615,,
5.445,-3.2352676,-4.9499893,8.1852569,2.027368899,,
5.45,-2.8622894,-5.0530281,7.9153175,2.066945487,,
5.455,-2.7114258,-5.0803642,7.79179,2.105904437,,
5.46,-2.7030411,-5.0320015,7.7350426,2.14457965,,
5.465,-2.7721863,-4.9037285,7.6759148,2.182959224,,
5.47,-2.889534,-4.8112068,7.7007408,2.221462928,,
5.475,-2.9817276,-4.7291946,7.7109222,2.260017539,,
5.48,-3.0781174,-4.666111,7.7442284,2.298738681,,
5.485,-3.1724091,-4.5904121,7.7628212,2.337552787,,
5.49,-3.2541275,-4.5378418,7.7919693,2.376512633,,
5.495,-3.3065109,-4.5105057,7.8170166,2.415597716,,
5.5,-3.3442307,-4.4873734,7.8316041,2.454755737,,
5.505,-3.3672791,-4.4495239,7.816803,2.493839752,,
5.51,-3.3987122,-4.4305992,7.8293114,2.532986309,,
5.515,-3.4049988,-4.4011612,7.80616,2.572017109,,
5.52,-3.3987122,-4.3506927,7.7494049,2.610764133,,
5.525,-3.365181,-4.3422813,7.7074623,2.649301445,,
5.53,-3.3421326,-4.3086357,7.6507683,2.687555286,,
5.535,-3.308609,-4.2329369,7.5415459,2.725263016,,
5.54,-3.2604141,-4.1509285,7.4113426,2.762319729,,
5.545,-3.1828842,-4.0626106,7.2454948,2.798547203,,
5.55,-3.1116409,-3.9784966,7.0901375,2.83399789,,
5.555,-3.0445862,-3.8964844,6.9410706,2.868703243,,
5.56,-2.9502945,-3.8207855,6.77108,2.902558643,,
5.565,-2.8769608,-3.7640152,6.640976,2.935763523,,
5.57,-2.8182907,-3.7135468,6.5318375,2.968422711,,
5.575,-2.7679977,-3.6630783,6.431076,3.000578091,,
5.58,-2.7072296,-3.6168137,6.3240433,3.032198307,,
5.585,-2.6590424,-3.5516281,6.2106705,3.06325166,,
5.59,-2.6108475,-3.511673,6.1225205,3.093864262,,
5.595,-2.5626526,-3.4591064,6.021759,3.123973057,,
5.6,-2.5186462,-3.408638,5.9272842,3.153609478,,
5.605,-2.4746475,-3.3476563,5.8223038,3.182720997,,
5.61,-2.4075928,-3.2845764,5.6921692,3.211181843,,
5.615,-2.369873,-3.2530289,5.6229019,3.239296353,,
5.62,-2.3363495,-3.2067719,5.5431214,3.26701196,,
5.625,-2.2923508,-3.1352768,5.4276276,3.294150098,,
5.63,-2.2567291,-3.0637817,5.3205108,3.320752652,,
5.635,-2.2169113,-3.0301361,5.2470474,3.346987889,,
5.64,-2.1687164,-2.9859772,5.1546936,3.372761357,,
5.645,-2.1351929,-2.9418182,5.0770111,3.398146412,,
5.65,-2.0849075,-2.8955536,4.9804611,3.423048718,,
5.655,-2.0429993,-2.8429871,4.8859864,3.44747865,,
5.66,-2.001091,-2.7946243,4.7957153,3.471457226,,
5.665,-1.9633713,-2.7420502,4.7054215,3.494984334,,
5.67,-1.9235611,-2.6852722,4.6088333,3.5180285,,
5.675,-1.8690796,-2.6390152,4.5080948,3.540568974,,
5.68,-1.8292694,-2.5780334,4.4073028,3.562605488,,
5.685,-1.7852631,-2.540184,4.3254471,3.584232724,,
5.69,-1.7496414,-2.4855118,4.2351532,3.60540849,,
5.695,-1.7140198,-2.437149,4.1511688,3.626164334,,
5.7,-1.6763077,-2.3929901,4.0692978,3.646510823,,
5.705,-1.6323013,-2.3467255,3.9790268,3.666405957,,
5.71,-1.5799179,-2.2920532,3.8719711,3.685765812,,
5.715,-1.5484848,-2.2520981,3.8005829,3.704768727,,
5.72,-1.5107727,-2.1953201,3.7060928,3.723299191,,
5.725,-1.473053,-2.1490631,3.6221161,3.741409771,,
5.73,-1.4206696,-2.0838776,3.5045472,3.758932507,,
5.735,-1.3892365,-2.0376129,3.4268494,3.776066754,,
5.74,-1.3431396,-1.9913559,3.3344955,3.792739232,,
5.745,-1.2928467,-1.9408875,3.2337342,3.808907903,,
5.75,-1.2551346,-1.8946228,3.1497574,3.82465669,,
5.755,-1.2027512,-1.8483582,3.0511094,3.839912237,,
5.76,-1.1629333,-1.8021011,2.9650344,3.854737409,,
5.765,-1.1147385,-1.7642517,2.8789902,3.86913236,,
5.77,-1.083313,-1.7264023,2.8097153,3.883180936,,
5.775,-1.0393066,-1.6822433,2.7215499,3.896788686,,
5.78,-0.9973984,-1.6380844,2.6354828,3.9099661,,
5.785,-0.9701614,-1.600235,2.5703964,3.922818082,,
5.79,-0.9240646,-1.5581741,2.4822387,3.935229275,,
5.795,-0.8842468,-1.5140152,2.398262,3.947220585,,
5.8,-0.8486252,-1.4677582,2.3163834,3.958802502,,
5.805,-0.808815,-1.4214935,2.2303085,3.969954045,,
5.81,-0.7773819,-1.3836441,2.161026,3.980759175,,
5.815,-0.7417679,-1.3394852,2.0812531,3.99116544,,
5.82,-0.693573,-1.2616806,1.9552536,4.000941708,,
5.825,-0.664238,-1.2343445,1.8985825,4.010434621,,
5.83,-0.6181335,-1.2070084,1.8251419,4.01956033,,
5.835,-0.5929947,-1.1586456,1.7516403,4.028318532,,
5.84,-0.5720367,-1.1502304,1.7222671,4.036929867,,
5.845,-0.5489883,-1.125,1.6739883,4.045299809,,
5.85,-0.5196533,-1.0934601,1.6131134,4.053365376,,
5.855,-0.4966049,-1.0577087,1.5543136,4.061136944,,
5.86,-0.469368,-1.0156555,1.4850235,4.068562061,,
5.865,-0.4358368,-0.9820099,1.4178467,4.075651295,,
5.87,-0.4148865,-0.9588776,1.3737641,4.082520115,,
5.875,-0.3960266,-0.9420547,1.3380813,4.089210522,,
5.88,-0.3687897,-0.9273376,1.2961273,4.095691158,,
5.885,-0.360405,-0.9168243,1.2772293,4.102077305,,
5.89,-0.360405,-0.906311,1.266716,4.108410885,,
5.895,-0.3541183,-0.9126129,1.2667312,4.114744541,,
5.9,-0.3583069,-0.9000015,1.2583084,4.121036083,,
5.905,-0.3499298,-0.9020996,1.2520294,4.12729623,,
5.91,-0.3373566,-0.8747635,1.2121201,4.13335683,,
5.915,-0.3310699,-0.8789749,1.2100448,4.139407054,,
5.92,-0.3247833,-0.8789749,1.2037582,4.145425845,,
5.925,-0.3310699,-0.8894882,1.2205581,4.151528636,,
5.93,-0.3184967,-0.8978958,1.2163925,4.157610598,,
5.935,-0.3247833,-0.906311,1.2310943,4.16376607,,
5.94,-0.3310699,-0.9105148,1.2415847,4.169973993,,
5.945,-0.339447,-0.9126129,1.2520599,4.176234293,,
5.95,-0.339447,-0.9189224,1.2583694,4.18252614,,
5.955,-0.3373566,-0.9189224,1.256279,4.188807535,,
5.96,-0.333168,-0.9210281,1.2541961,4.195078515,,
5.965,-0.3352585,-0.9273376,1.2625961,4.201391496,,
5.97,-0.3373566,-0.9294357,1.2667923,4.207725457,,
5.975,-0.3289719,-0.9189224,1.2478943,4.213964929,,
5.98,-0.3143082,-0.9126129,1.2269211,4.220099534,,
5.985,-0.3122101,-0.9084091,1.2206192,4.22620263,,
5.99,-0.3059235,-0.8957977,1.2017212,4.232211236,,
5.995,-0.3163986,-0.881073,1.1974716,4.238198594,,
6,-0.2975464,-0.868454,1.1660004,4.244028596,,
6.005,-0.2954483,-0.8579407,1.153389,4.249795541,,
6.01,-0.2954483,-0.8432236,1.1386719,4.255488901,,
6.015,-0.2891617,-0.824295,1.1134567,4.261056184,,
6.02,-0.2786865,-0.8137817,1.0924682,4.266518525,,
6.025,-0.280777,-0.7990646,1.0798416,4.271917733,,
6.03,-0.2703018,-0.7464981,1.0167999,4.277001733,,
6.035,-0.2598267,-0.7464981,1.0063248,4.282033357,,
6.04,-0.2661133,-0.7254639,0.9915772,4.286991243,,
6.045,-0.2723999,-0.6834106,0.9558105,4.291770295,,
6.05,-0.2849731,-0.6813049,0.966278,4.296601685,,
6.055,-0.2682114,-0.6581802,0.9263916,4.301233643,,
6.06,-0.2723999,-0.6413574,0.9137573,4.30580243,,
6.065,-0.2640152,-0.6266327,0.8906479,4.310255669,,
6.07,-0.25354,-0.6161194,0.8696594,4.314603966,,
6.075,-0.2346802,-0.5824738,0.817154,4.318689736,,
6.08,-0.2095337,-0.5488358,0.7583695,4.322481584,,
6.085,-0.1843948,-0.5088806,0.6932754,4.325947961,,
6.09,-0.1571503,-0.4710312,0.6281815,4.329088868,,
6.095,-0.1299133,-0.4415894,0.5715027,4.331946382,,
6.1,-0.1005783,-0.4100494,0.5106277,4.33449952,,
6.105,-0.0838165,-0.3953247,0.4791412,4.336895226,,
6.11,-0.0649567,-0.3869171,0.4518738,4.339154595,,
6.115,-0.0481949,-0.3658905,0.4140854,4.341225022,,
6.12,-0.0314331,-0.3406525,0.3720856,4.34308545,,
6.125,-0.0209503,-0.3406525,0.3616028,4.344893464,,
6.13,-0.0125732,-0.334343,0.3469162,4.346628045,,
6.135,-0.0083771,-0.3301392,0.3385163,4.348320627,,
6.14,-0.0104752,-0.3280411,0.3385163,4.350013208,,
6.145,-0.0146637,-0.3364487,0.3511124,4.35176877,,
6.15,-0.0083771,-0.3070068,0.3153839,4.35334569,,
6.155,-0.0104752,-0.3091125,0.3195877,4.354943628,,
6.16,-0.0083771,-0.3175278,0.3259049,4.356573153,,
6.165,-0.0020905,-0.3238297,0.3259202,4.358202754,,
6.17,0.00209808,-0.3238297,0.32173162,4.359811412,,
6.175,-0.0041885,-0.3322449,0.3364334,4.361493579,,
6.18,-0.0041885,-0.3280411,0.3322296,4.363154727,,
6.185,-0.0062866,-0.3364487,0.3427353,4.364868403,,
6.19,-0.0062866,-0.3364487,0.3427353,4.36658208,,
6.195,-0.0062866,-0.3427582,0.3490448,4.368327304,,
6.2,-0.0104752,-0.3385544,0.3490296,4.370072452,,
6.205,-0.0062866,-0.3385544,0.344841,4.371796657,,
6.21,0.00209808,-0.3112183,0.30912022,4.373342258,,
6.215,-0.0020905,-0.3280411,0.3301316,4.374992916,,
6.22,-4.44E-16,-0.3364487,3.36E-01,4.38E+00,,
6.225,0.00418854,-0.3301392,0.32595066,4.38E+00,,
6.23,0.0083847,-0.3364487,0.328064,4.38E+00,,
6.235,0.01047516,-0.3364487,0.32597354,4.38E+00,,
6.24,0.00418854,-0.3301392,0.32595066,4.38E+00,,
6.245,-0.0041885,-0.3364487,0.3406372,4.38E+00,,
6.25,-0.0062866,-0.3322449,0.3385315,4.39E+00,,
6.255,-0.0062866,-0.300705,0.3069916,4.39E+00,,
6.26,-0.0083771,-0.3133163,0.3216934,4.39E+00,,
6.265,0.00418854,-0.3196259,0.31543736,4.39E+00,,
6.27,0.00628662,-0.3238297,0.31754308,4.39E+00,,
6.275,0.00209808,-0.3280411,0.32594302,4.39E+00,,
6.28,-0.0041885,-0.3301392,0.3343277,4.40E+00,,
6.285,-4.44E-16,-0.3259354,3.26E-01,4.40E+00,,
6.29,0.01047516,-0.3259354,0.31546024,4.40E+00,,
6.295,0.00628662,-0.3259354,0.31964878,4.40E+00,,
6.3,0.00628662,-0.3217316,0.31544498,4.40E+00,,
6.305,0.01676178,-0.3175278,0.30076602,4.40E+00,,
6.31,0.02095795,-0.3091125,0.28815455,4.41E+00,,
6.315,0.02724457,-0.2964935,0.26924893,4.41E+00,,
6.32,0.02514648,-0.2985992,0.27345272,4.41E+00,,
6.325,0.01676178,-0.290184,0.27342222,4.41E+00,,
6.33,0.01257324,-0.2670593,0.25448606,4.41E+00,,
6.335,0.01257324,-0.2586441,0.24607086,4.41E+00,,
6.34,0.01885986,-0.2628479,0.24398804,4.41E+00,,
6.345,0.0230484,-0.2586441,0.2355957,4.41E+00,,
6.35,0.0230484,-0.2607498,0.2377014,4.42E+00,,
6.355,0.02724457,-0.2586441,0.23139953,4.42E+00,,
6.36,0.01885986,-0.2229004,0.20404054,4.42E+00,,
6.365,0.01676178,-0.2355118,0.21875002,4.42E+00,,
6.37,0.01047516,-0.2460327,0.23555754,4.42E+00,,
6.375,0.01257324,-0.2502365,0.23766326,4.42E+00,,
6.38,0.00418854,-0.256546,0.25235746,4.42E+00,,
6.385,0.01467133,-0.2523346,0.23766327,4.42E+00,,
6.39,0.01676178,-0.2649536,0.24819182,4.43E+00,,
6.395,0.01885986,-0.2712631,0.25240324,4.43E+00,,
6.4,0.0230484,-0.2733688,0.2503204,4.43E+00,,
6.405,0.01676178,-0.2754669,0.25870512,4.43E+00,,
6.41,0.01885986,-0.2712631,0.25240324,4.43E+00,,
6.415,0.01676178,-0.2712631,0.25450132,4.43E+00,,
6.42,0.02514648,-0.2397232,0.21457672,4.43E+00,,
6.425,0.01467133,-0.256546,0.24187467,4.43E+00,,
6.43,0.01257324,-0.2733688,0.26079556,4.43E+00,,
6.435,0.01676178,-0.2796707,0.26290892,4.44E+00,,
6.44,0.01885986,-0.2796707,0.26081084,4.44E+00,,
6.445,0.01885986,-0.2796707,0.26081084,4.44E+00,,
6.45,0.0230484,-0.2712631,0.2482147,4.44E+00,,
6.455,0.03562164,-0.2817764,0.24615476,4.44E+00,,
6.46,0.0230484,-0.2775726,0.2545242,4.44E+00,,
6.465,0.01885986,-0.2586441,0.23978424,4.44E+00,,
6.47,0.02514648,-0.2733688,0.24822232,4.45E+00,,
6.475,0.02095795,-0.2838821,0.26292415,4.45E+00,,
6.48,0.01257324,-0.2775726,0.26499936,4.45E+00,,
6.485,0.02095795,-0.2817764,0.26081845,4.45E+00,,
6.49,0.02095795,-0.290184,0.26922605,4.45E+00,,
6.495,0.02724457,-0.2838821,0.25663753,4.45E+00,,
6.5,0.02095795,-0.2775726,0.25661465,4.45E+00,,
6.505,0.0230484,-0.2838821,0.2608337,4.45E+00,,
6.51,0.02514648,-0.2586441,0.23349762,4.46E+00,,
6.515,0.01467133,-0.2607498,0.24607847,4.46E+00,,
6.52,0.01676178,-0.2607498,0.24398802,4.46E+00,,
6.525,0.01885986,-0.2712631,0.25240324,4.46E+00,,
6.53,0.02095795,-0.2733688,0.25241085,4.46E+00,,
6.535,0.0083847,-0.2712631,0.2628784,4.46E+00,,
6.54,0.01257324,-0.2691574,0.25658416,4.46E+00,,
6.545,0.01676178,-0.2649536,0.24819182,4.46E+00,,
